x y z qx qy qz qw yaw_deg direction
13.932707 20.243215 0.000000 0.000000 0.000000 0.156846 0.987623 18.05 reverse
13.976509 20.256808 0.000000 0.000000 0.000000 0.156847 0.987623 18.05 reverse
14.001412 20.264564 0.000000 0.000000 0.000000 0.156847 0.987623 18.05 reverse
14.035850 20.275294 0.000000 0.000000 0.000000 0.156809 0.987629 18.04 reverse
14.070269 20.286081 0.000000 0.000000 0.000000 0.156809 0.987629 18.04 reverse
13.878501 20.230978 0.000000 0.000000 0.000000 0.156848 0.987623 18.05 reverse
13.908352 20.240498 0.000000 0.000000 0.000000 0.156810 0.987629 18.04 reverse
13.938144 20.250060 0.000000 0.000000 0.000000 0.156810 0.987629 18.04 reverse
13.967989 20.259677 0.000000 0.000000 0.000000 0.156810 0.987629 18.04 reverse
13.997802 20.269303 0.000000 0.000000 0.000000 0.156779 0.987634 18.04 reverse
14.027532 20.278959 0.000000 0.000000 0.000000 0.156779 0.987634 18.04 reverse
13.841830 20.224531 0.000000 0.000000 0.000000 0.156817 0.987628 18.04 reverse
13.867175 20.232953 0.000000 0.000000 0.000000 0.156784 0.987633 18.04 reverse
13.892441 20.241406 0.000000 0.000000 0.000000 0.156784 0.987633 18.04 reverse
13.917708 20.249899 0.000000 0.000000 0.000000 0.156784 0.987633 18.04 reverse
13.942902 20.258394 0.000000 0.000000 0.000000 0.156757 0.987637 18.04 reverse
13.967976 20.266903 0.000000 0.000000 0.000000 0.156757 0.987637 18.04 reverse
13.829379 20.218271 0.000000 0.000000 0.000000 0.156741 0.987640 18.04 reverse
13.851041 20.225667 0.000000 0.000000 0.000000 0.156721 0.987643 18.03 reverse
13.872617 20.233083 0.000000 0.000000 0.000000 0.156721 0.987643 18.03 reverse
13.894157 20.240527 0.000000 0.000000 0.000000 0.156721 0.987643 18.03 reverse
13.915599 20.247972 0.000000 0.000000 0.000000 0.156704 0.987646 18.03 reverse
13.936895 20.255415 0.000000 0.000000 0.000000 0.156704 0.987646 18.03 reverse
13.802239 20.208599 0.000000 0.000000 0.000000 0.156702 0.987646 18.03 reverse
13.820225 20.214972 0.000000 0.000000 0.000000 0.156689 0.987648 18.03 reverse
13.838119 20.221360 0.000000 0.000000 0.000000 0.156689 0.987648 18.03 reverse
13.855888 20.227747 0.000000 0.000000 0.000000 0.156689 0.987648 18.03 reverse
13.873539 20.234130 0.000000 0.000000 0.000000 0.156678 0.987650 18.03 reverse
13.891084 20.240522 0.000000 0.000000 0.000000 0.156678 0.987650 18.03 reverse
13.764069 20.196380 0.000000 0.000000 0.000000 0.156684 0.987649 18.03 reverse
13.778457 20.201754 0.000000 0.000000 0.000000 0.156687 0.987648 18.03 reverse
13.792705 20.207123 0.000000 0.000000 0.000000 0.156690 0.987648 18.03 reverse
13.806821 20.212489 0.000000 0.000000 0.000000 0.156692 0.987648 18.03 reverse
13.820781 20.217841 0.000000 0.000000 0.000000 0.156696 0.987647 18.03 reverse
13.834611 20.223191 0.000000 0.000000 0.000000 0.156700 0.987646 18.03 reverse
13.718018 20.182366 0.000000 0.000000 0.000000 0.156714 0.987644 18.03 reverse
